X,Y,OBJECTID,Project_ID,Project_Name,Project_Street_Number,Project_Street_Name,Project_Street_Suffix,Project_Zip_Code,Neighborhood,Project_Record_Type,Project_Status,Filed_Date,BPDA_Board_Approval,First_Building_Permit,COO_Permit_Date,Last_Project_Update_Date,Gross_Square_Footage,Description,Website_URL,Lat,Lon,Gross_Floor_Area,RnD_sqft,Shape
776137.006710634,2962425.91956565,21810,155,Charlestown Police Station,,"Bunker Hill, Hunter & Vine Streets",,2129,Charlestown,Small Project,Construction Complete,,,,,,14000,BRA Parcel to be subdivided and used for the development of a new Charlestown Police Station  and 25-bed Charlestown Recovery House.,,42.3762,-71.056,14000,,
755078.846071139,2951939.73122048,21811,1550,75 Brainerd Road,75,Brainerd,Road,2134,Allston,Large Project,Construction Complete,2013/01/11 00:00:00+00,2013/05/16 00:00:00+00,2013/12/06 00:00:00+00,2014/08/29 00:00:00+00,2013/10/28 00:00:00+00,93260,"Proposal calls for a 93,260 SF development with 104 residential units and108 parking spaces.",http://www.bostonplans.org/projects/development-projects/75-brainerd-road,42.3477,-71.1341,93260,0,
786850.317961141,2964889.42644964,21812,1552,Edward W. Brooke Charter School,94,Horace,Street,,East Boston,Small Project,Construction Complete,,2013/02/14 00:00:00+00,2013/07/10 00:00:00+00,2014/09/03 00:00:00+00,2013/02/14 00:00:00+00,42800,Proposal calls for the renovation of the former Dom Savio High School building and two abutting residential properties for reuse by the Edward W. Brooke Charter School for 475 students grades K-8.,http://www.bostonplans.org/projects/development-projects/edward-w-brooke-charter-school,42.3828,-71.0163,42800,0,
756771.763288975,2929462.07177956,21813,1553,4236 Washington Street,4236,Washington,Street,2131,Roslindale,Small Project,Construction Complete,2013/01/16 00:00:00+00,2013/06/13 00:00:00+00,2014/07/10 00:00:00+00,2015/11/04 00:00:00+00,2013/06/13 00:00:00+00,37998,Proposal calls for 43 residential rental units and 38 parking spaces at the Higgins Funeral Home site.,http://www.bostonplans.org/Projects/Development-Projects/4236-Washington-Street,42.286,-71.1282,42000,0,
755899.076057971,2937293.37403031,21814,1554,Showa Boston Institute for Language and Culture 3r,420,Pond,Street,,Jamaica Plain,Small Project,Construction Complete,2013/01/17 00:00:00+00,,,,,1500,"Proposal calls for a 1,500 square foot addition to the existing Showa Boston Institute.",http://www.bostonplans.org/projects/development-projects/showa-boston-institute-for-language-and-culture-3r,42.3075,-71.1313,1500,0,
767684.466529131,2944635.83145823,21815,1556,Bartlett Place Development - Phase 1,2656,Washington,Street,2119,Roxbury,Large Project,Construction Complete,2013/03/01 00:00:00+00,2013/09/12 00:00:00+00,2016/12/14 00:00:00+00,2023/01/03 00:00:00+00,2022/07/13 00:00:00+00,233490,"Phase 1 of the Bartlett Place development plans for two buildings on Lots A & B with 120 units of housing, ~25,000 sf of commercial space, and 128 off-street parking spaces.",https://www.bostonplans.org/projects/development-projects/bartlett-place-development-phase-1,42.3275,-71.0876,233490,0,
767671.428169385,2947332.52258715,21816,1557,Madison Tropical Parcel 10 (Building B),2085,Washington,Street,2119,Roxbury,Large Project,Board Approved,2013/04/17 00:00:00+00,2013/06/13 00:00:00+00,,,2022/05/12 00:00:00+00,141578,"This project is part of a three-phase development of Madison Tropical Parcel 10 which is sponsored by the development team of Madison Park Development Corporation (""MPDC"") and Tropical Foods.  
Phase 3 (Building B) was originally envisioned as a mixed use office and commercial building and is now expected to generate over 130K of residential sqft, including 96 residential units and 94 Affordable/IDP units.",http://www.bostonplans.org/projects/development-projects/madison-tropical-parcel-10,42.3349,-71.0876,133778,0,
764465.739370808,2950560.64342748,21817,1558,1350 Boylston Street,1350,Boylston,Street,2215,Fenway,Large Project,Construction Complete,2013/07/15 00:00:00+00,2013/12/19 00:00:00+00,2015/09/25 00:00:00+00,2017/09/28 00:00:00+00,2019/02/05 00:00:00+00,196500,"Proposal calls for the construction of a new, 200,000SF building for the provision of 200 residential units and ground floor retail space.",http://www.bostonplans.org/projects/development-projects/1350-boylston-street,42.3438,-71.0994,200000,0,
777968.374438971,2948222.78950739,21818,1560,Residences at Dahlgren Hall at 309 E Street,309,E,Street,2127,South Boston,Small Project,Construction Complete,2013/02/15 00:00:00+00,2013/05/16 00:00:00+00,2013/09/25 00:00:00+00,2015/04/27 00:00:00+00,2013/05/16 00:00:00+00,26814,"Proposal calls for the construction of a new 4-story building, containing 18 residential units and 20 parking spaces.",http://www.bostonplans.org/projects/development-projects/residences-at-dahlgren-hall-at-309-e-street,42.3372,-71.0495,26814,0,
776784.343998641,2962647.95685123,21819,1561,Ropewalk Complex,317,Chelsea,Street,2129,Charlestown,Large Project,Construction Complete,2014/05/02 00:00:00+00,2016/04/14 00:00:00+00,2018/12/20 00:00:00+00,2021/09/15 00:00:00+00,2022/01/29 00:00:00+00,120000,Proposal calls for the rehabilitation of the Ropewalk Complex in the Charlestown Navy Yard and includes 97 rental units.,http://www.bostonplans.org/projects/development-projects/ropewalk-complex,42.3768,-71.0536,120000,0,
767860.339536965,2947406.32198022,21820,1563,Melnea Hotel and Residences,1200,Melnea Cass,Blvd,0,Roxbury,Large Project,Construction Complete,2013/04/29 00:00:00+00,2013/07/16 00:00:00+00,2016/12/21 00:00:00+00,2019/05/13 00:00:00+00,2021/05/21 00:00:00+00,185300,"Proposal calls for the construction of a new, 126,400 square foot project, including a 108-room hotel, 50 rental units, 8,000 SF of commercial/retail space, and 70 parking spaces.",http://www.bostonplans.org/projects/development-projects/melnea-hotel-and-residences,42.3351,-71.0869,186000,0,
764099.447452471,2942177.12640189,21821,1565,75 Amory Avenue Building K Jackson Square,75,Amory,Avenue,2119,Jamaica Plain,NPC,Construction Complete,,2013/07/16 00:00:00+00,2014/08/07 00:00:00+00,2014/10/10 00:00:00+00,,46858,"Proposal calls for the construciton of 55 residential units, including 19 affordable rental unit and 36 affordable homeownership units.",http://www.bostonplans.org/projects/development-projects/75-amory-avenue-building-k-jackson-square,42.3208,-71.1009,46858,0,
775929.264672056,2950398.67557555,21822,1566,South Boston Cambria Hotel,6,West Broadway,Street,2127,South Boston,Large Project,Construction Complete,2013/08/05 00:00:00+00,2013/10/08 00:00:00+00,2016/10/14 00:00:00+00,2019/07/02 00:00:00+00,2016/02/29 00:00:00+00,87000,"Proposal calls for a new, 87,000 SF, 156-room hotel at the corner of Dorchester Avenue and West Broadway in South Boston.",http://www.bostonplans.org/Projects/Development-Projects/South-Boston-Boutique-Hotel,42.3432,-71.057,87000,0,
771257.374409556,2954784.46306381,21823,1568,Fisher College Institutional Master Plan,118,Beacon,Street,2116,Back Bay,Small Project,Construction Complete,,,,,,0,"Converting 102-116 & 131/133 Beacon into 48 beds, residential to dorm use the bldgs at 115/139/141 Beacon, 17,500 SF bldg at 10/11 Arlington to institutional; 2,500 SF addition to 118 Beacon for student services/library; 2,000 SF terrace @ 112-114 Beacon.",,42.3553,-71.0742,0,0,
773466.930685967,2950823.33187848,21824,1569,80 East Berkeley Street,80,East Berkeley,Street,2118,South End,Large Project,Board Approved,2013/08/08 00:00:00+00,2013/10/17 00:00:00+00,,,2022/10/07 00:00:00+00,348380,"The proposal calls for the construction of a 265,000 SF 10-story office, laboratory and research and development building with ground floor retail and 200 parking spaces.",http://www.bostonplans.org/projects/development-projects/80-east-berkeley-street,42.3444,-71.0661,265000,252000,
773452.656436309,2953629.35546589,21825,1571,Emerson College - 2 Boylston Place,3-Jan,Boylston,Place,2116,Downtown,Large Project,Construction Complete,2013/08/26 00:00:00+00,2013/12/19 00:00:00+00,2015/12/17 00:00:00+00,2017/06/02 00:00:00+00,2015/03/27 00:00:00+00,89900,"Proposal calls for the construction of a 89,900 SF, 395-400 bed dormitory",http://www.bostonplans.org/projects/development-projects/emerson-college-1-3-boylston-place,42.3521,-71.0661,89900,0,
761396.442359805,2935932.98140989,21826,1574,The Commons at Forest Hills,3593-3615,Washington,Street,2130,Jamaica Plain,Large Project,Construction Complete,2013/07/24 00:00:00+00,2013/10/17 00:00:00+00,2014/09/09 00:00:00+00,2017/03/20 00:00:00+00,2014/01/02 00:00:00+00,300733,"Proposal calls for the redevelopment of the former Hughes Oil site in Jamaica Plan for the provision of 283 residential units including 37 affordable units, parking and ground floor retail space.",http://www.bostonplans.org/projects/development-projects/the-commons-at-forest-hills,42.3037,-71.111,300000,0,
762829.476239145,2947783.37470381,21827,1575,Boston Childrens Hospital - Clinical Building,55,Shattuck,Street,2115,Longwood Medical Area,Large Project,Construction Complete,2012/10/12 00:00:00+00,2013/11/14 00:00:00+00,2018/05/08 00:00:00+00,,2013/11/14 00:00:00+00,445000,"Boston Children's Hospital Clinical Building: includes 445,000 SF of clinical space.","http://www.bostonplans.org/projects/development-projects/boston-children-s-hospital-clinical-building,-2013",42.3362,-71.1055,445000,0,
773925.200438723,2951080.76705915,21828,1576,345 Harrison Avenue,345,Harrison,Avenue,2118,South End,Large Project,Construction Complete,2013/10/31 00:00:00+00,2016/02/11 00:00:00+00,2016/09/28 00:00:00+00,2018/08/21 00:00:00+00,2019/02/07 00:00:00+00,563000,"Proposal calls for the construction of two residential buildings for the provision of 560 rental units and 30,000SF of ground floor retail.",http://www.bostonplans.org/projects/development-projects/345-harrison-avenue,42.3451,-71.0644,563000,0,
766386.676473811,2944593.15044123,21829,1577,74 Highland Street,74,Highland,Street,,Roxbury,Small Project,Construction Complete,2013/06/05 00:00:00+00,,,,,18362,Proposal calls for 16 residential units and 12 parking spaces.,,42.3274,-71.0924,18362,0,
765936.154408976,2948344.5924134,21830,1578,Wentworth - 500 Huntington Avenue,500,Huntington,Avenue,2215,Mission Hill,Large Project,Under Review,,2013/09/12 00:00:00+00,,,2023/06/27 00:00:00+00,992153,"The proposed Project involves (a) demolishing an existing parking lot, three small buildings and an artificial turf athletic field, and (b) constructing two new mixed-use buildings comprising approximately 640,000 square feet of life science, office, cultural, and retail/commercial uses along with below grade parking.",https://www.bostonplans.org/projects/development-projects/wentworth-500-huntington-avenue,42.3377,-71.094,640000,630000,
752488.388325557,2957285.8422474,21831,1579,Joseph M Smith Community Health Center,132,Chesnut Hill,Avenue,2135,Brighton,Small Project,Construction Complete,2013/06/14 00:00:00+00,2013/07/16 00:00:00+00,2013/12/19 00:00:00+00,2015/09/18 00:00:00+00,2017/08/28 00:00:00+00,47901,"JMSCHC is looking to combine services at several locations into one central office: retail pharmacy, vision clinic, retail eye glass shop, dental clinic, administrative suite and a conference area for JMSCHC and community use with 99 parking spaces.",http://www.bostonplans.org/projects/development-projects/joseph-m-smith-community-health-center,42.3624,-71.1436,47901,0,
775152.560516804,2954221.15119831,21832,158,42 Chauncy Street,42,Chauncy,Street,2111,Downtown,Small Project,Construction Complete,,2000/02/03 00:00:00+00,,,,44856,"Proposed rehabilitation of former Boston Edison rectifier building, including ground floor retail and up to 34 loft style residential units.  Proposed project calls for added fenestration, 4 infill floors and a one-story additon. Developer to set aside 3

IDP notes: 4 monitored units at 42 Chauncy include 3 from developer's AHA + 1 from the Dexter Condominium's separate/later AHA.",,42.3537,-71.0598,43330,,
775520.410502881,2956263.85413389,21833,1580,17 Court Street Renovation,17,Court,Street,2108,Downtown,Large Project,Construction Complete,2013/07/12 00:00:00+00,2013/08/15 00:00:00+00,2015/03/31 00:00:00+00,2016/12/21 00:00:00+00,2014/12/01 00:00:00+00,130000,"Proposal calls for the renovation and reconfiguration of the 130,000 SF existing shelter at 17 Court Street, and will allow for 35 new efficiency units, in addition to the 59 existing SROs. Operational and life safety systems will also be upgraded.",http://www.bostonplans.org/Projects/Development-Projects/17-Court-Street-Renovation,42.3593,-71.0584,130000,0,
765242.52357839,2940651.91751006,21834,1581,Westminster House Project,3012,Washington,Street,2119,Roxbury,Small Project,Construction Complete,2013/07/05 00:00:00+00,2016/10/20 00:00:00+00,2019/03/26 00:00:00+00,2021/08/13 00:00:00+00,,48598,"Proposal calls for 36 income restricted/affordable apartments and 13,000 square feet of public meeting space and classrooms, staff offices, conference areas and a childcare facility all on the groud floor.",http://www.bostonplans.org/projects/development-projects/washington-street-westminster-house-project,42.3166,-71.0967,48598,0,
781136.110229477,2962379.59813598,21835,1582,41-43 Saratoga Street,41-43,Saratoga,Street,2128,East Boston,Small Project,Construction Complete,2013/07/25 00:00:00+00,2013/09/12 00:00:00+00,2013/10/10 00:00:00+00,2015/02/27 00:00:00+00,2013/09/12 00:00:00+00,13800,Proposal calls for the construction of 18 residential rental units and 10 parking spaces.,http://www.bostonplans.org/projects/development-projects/41-43-saratoga-street,42.376,-71.0375,13746,0,
763943.576701224,2952380.33270147,21836,1583,Boston University - 610 Commonwealth Avenue (CILSE),610,Commonwealth,Avenue,2215,Fenway,Large Project,Construction Complete,2014/07/18 00:00:00+00,2014/09/18 00:00:00+00,2015/06/09 00:00:00+00,2017/03/08 00:00:00+00,2015/05/04 00:00:00+00,136200,"Center for Integrated Life Sciences and Engineering Building: proposal calls for up to 136,200 SF building with nine floors and will be located on the site of an existing surface parking lot that will directly abut the existing Morse auditorium.",http://www.bostonplans.org/projects/development-projects/boston-university-610-commonwealth-ave,42.3488,-71.1013,136200,136200,
780144.010507643,2960952.95991315,21837,1585,Coppersmith Village Development,126,Border,Street,2128,East Boston,Large Project,Construction Complete,2013/11/18 00:00:00+00,2014/01/16 00:00:00+00,2015/12/29 00:00:00+00,2019/08/14 00:00:00+00,2019/10/17 00:00:00+00,114091,Proposal calls for 56 rental units (41 affordable) at 75 Border Street and 15 homeownership units (8 affordable) at 80 Liverpool Street.,http://www.bostonplans.org/projects/development-projects/coppersmith-village-development,42.3721,-71.0412,114091,0,
776148.950912476,2949743.84781697,21838,1586,148-152 Dorchester Avenue,148-152,Dorchester,Avenue,2127,South Boston,Small Project,Construction Complete,2013/08/05 00:00:00+00,2013/09/12 00:00:00+00,2016/04/21 00:00:00+00,2016/06/22 00:00:00+00,2014/05/15 00:00:00+00,48790,"A proposed project of 30 condo units on 6 levels with an underground parking garage for 30 vehicles, and at the street level the project will include a new commercial unit.",http://www.bostonplans.org/projects/development-projects/148-152-dorchester-avenue-phase-ii,42.3414,-71.0562,48790,0,
779024.210909978,2953038.84221123,21839,1588,Seaport Square Block L1,101,Seaport,Blvd,2210,South Boston Waterfront,Large Project,Construction Complete,,2013/11/14 00:00:00+00,2015/08/31 00:00:00+00,,2016/03/11 00:00:00+00,557500,"101 Seaport, a 17-story, 440000 square-foot office tower with 20000 square feet of ground floor retail",https://www.bostonplans.org/projects/development-projects/seaport-square-block-l1,42.3504,-71.0455,460000,0,
762478.664276719,2947635.98425056,21840,1589,Brigham and Women's Hospital - Building for the Future,75,Francis,Street,,Longwood Medical Area,Large Project,Construction Complete,2009/06/17 00:00:00+00,2010/02/16 00:00:00+00,,2010/01/13 00:00:00+00,2014/08/14 00:00:00+00,515200,"A new research and development, clinical and office building developed, managed, and controlled by BWH will include approximately 383,250 square feet of space and 406 parking spaces.  Part of the MMHC development.",http://www.bostonplans.org/projects/development-projects/brigham-and-women-s-hospital-building-for-the-fu,42.3358,-71.1068,383250,181542,
754740.90186514,2955108.79870123,21841,1592,61-83 Braintree Street aka 75 Braintree Street,61-83,Braintree,Street,2134,Allston,Large Project,Construction Complete,2013/11/27 00:00:00+00,2014/02/13 00:00:00+00,2016/04/01 00:00:00+00,2017/07/31 00:00:00+00,2018/03/29 00:00:00+00,93000,"Proposal calls for 80 residential rental units, 6,000 SF of commercial space and 67 parking spaces.",http://www.bostonplans.org/projects/development-projects/61-83-braintree-street,42.3564,-71.1353,93000,0,
773231.952481389,2949182.21376964,21842,1593,600 Harrison Avenue,600,Harrison,Avenue,2118,South End,Large Project,Construction Complete,2013/11/18 00:00:00+00,2014/01/16 00:00:00+00,2015/01/08 00:00:00+00,2016/10/13 00:00:00+00,2017/08/15 00:00:00+00,193300,"Proposal calls for the construction of a 193,300 SF development, including 160 residential units and 3,600 SF of retail space.",http://www.bostonplans.org/projects/development-projects/600-harrison-avenue,42.3399,-71.067,193300,0,
765457.87780647,2952278.13277464,21843,1594,Hotel Commonwealth Expansion,500-528,Commonwealth,Avenue,,Fenway,Large Project,Construction Complete,2013/10/08 00:00:00+00,2013/12/05 00:00:00+00,2014/08/13 00:00:00+00,2016/12/02 00:00:00+00,2014/05/21 00:00:00+00,133400,"Proposal calls for a 134,000 SF expansion of the existing Hotel Commonwealth, to allow for an additional 96 hotel rooms.",http://www.bostonplans.org/projects/development-projects/hotel-commonwealth-expansion,42.3485,-71.0957,134000,0,
753609.241398811,2954265.80530848,21844,1596,37-43 North Beacon Street,37-43,North Beacon,Street,2134,Allston,Large Project,Construction Complete,2018/03/07 00:00:00+00,2018/09/13 00:00:00+00,2019/11/05 00:00:00+00,2021/06/10 00:00:00+00,2019/09/11 00:00:00+00,94047,"The Project will be developed on an approximately 0.7-acre site at the edge of Union Square on North Beacon Street in Allston (the ?Project Site?). The Proposed Project consist of approximately 82,387 gross square foot new five-story building at the corner of North Beacon Street and Everett Street containing seventy-two (72) rental apartments (?Rental Building?) as well as a separate approximately four-story building on Sinclair Road consisting of nine (9) for sale condominiums (?Condo Building?) with off-street parking for 43 vehicles. The Project will capitalize on its urban setting by providing a series of amenities to encourage the use of alternative methods of transportation, including; covered and secure bike storage for each unit; a transit screen in the lobby providing schedules for local transit options; and on site ride sharing service.",http://www.bostonplans.org/projects/development-projects/37-43-north-beacon-street,42.3541,-71.1395,77401,0,
763123.843432561,2948440.70541014,21845,1598,Boston Childrens Hospital - Parking Garage Addition,300,Longwood,Avenue,,Longwood Medical Area,Small Project,Construction Complete,2012/10/12 00:00:00+00,2013/11/14 00:00:00+00,2017/01/09 00:00:00+00,2014/03/28 00:00:00+00,2013/11/14 00:00:00+00,29370,"A one-level 29,370 square foot Patient and Family Parking Garage Addition that includes 86 parking spaces.",http://www.bostonplans.org/projects/development-projects/boston-children-s-hospital-parking-garage-additi,42.338,-71.1044,29370,0,
771780.068902224,2947571.40990464,21846,1599,BUMC - Moakley Cancer Center Addition,830,Boston Medical Center,Place,2118,South End,Large Project,Construction Complete,,2013/11/14 00:00:00+00,2014/12/23 00:00:00+00,2015/12/28 00:00:00+00,2014/05/05 00:00:00+00,27800,"27,800 SF addtion to existing Moakley Cancer Center.",http://www.bostonplans.org/Projects/Development-Projects/BUMC-Moakley-Cancer-Center-Addition,42.3355,-71.0724,27800,0,
771537.643205971,2947387.98244998,21847,1600,BUMC - New Inpatient Building Phase 1,840,Harrison Ave,,,South End,Large Project,Construction Complete,,2013/11/14 00:00:00+00,2013/07/24 00:00:00+00,2014/07/31 00:00:00+00,2013/11/14 00:00:00+00,82300,"New Inpatient building Phase 1 - 82,300 SF of clinical space.",http://www.bostonplans.org/projects/development-projects/bumc-new-inpatient-building-phase-1,42.335,-71.0733,82300,0,
771537.643205971,2947387.98244998,21848,1601,BUMC - New Inpatient Building Phase 2,?,?,,,South End,Large Project,Construction Complete,,2013/11/14 00:00:00+00,,,2013/11/14 00:00:00+00,323000,"323,000 SF of new inpatient space.  Only Article 80D approvals in 2013.  Article 80B approvals to come in future.",http://www.bostonplans.org/Projects/Development-Projects/BUMC-New-Inpatient-Building-Phase-2,42.335,-71.0733,323000,0,
771944.123364136,2947207.80597305,21849,1602,BUMC - New Patient Transport Bridge,750,Albany,Street,,South End,Small Project,Construction Complete,,2013/11/14 00:00:00+00,2015/10/26 00:00:00+00,2016/02/05 00:00:00+00,2013/11/14 00:00:00+00,7800,New patient and utility transport bridge to replace existing yellow tube over Albany Street.,http://www.bostonplans.org/Projects/Development-Projects/BUMC-New-Patient-Transport-Bridge,42.3345,-71.0718,7800,0,
771917.999728724,2947025.4611934,21850,1603,BUMC - Administration and Clinical Building,750,Albany,Street,,South End,Large Project,Construction Complete,,2013/11/14 00:00:00+00,2015/10/26 00:00:00+00,2016/02/05 00:00:00+00,2013/11/14 00:00:00+00,160000,"160,000 SF administration and clinical building - received Article 80D BRA approval on 11/14/2013.  Will return for Article 80B approval at a later date.",http://www.bostonplans.org/Projects/Development-Projects/BUMC-Administration-and-Clinical-Building,42.334,-71.0719,160000,0,
777135.39743039,2947234.45126098,21851,1605,The Residences on E at 205 E Street,205,E,Street,2127,South Boston,Small Project,Construction Complete,2013/09/04 00:00:00+00,2013/11/14 00:00:00+00,2015/08/12 00:00:00+00,2017/11/09 00:00:00+00,,49763,Proposal calls for the construction of 38 residential condominium units and a 63 space underground parking garage.,http://www.bostonplans.org/Projects/Development-Projects/The-Residences-on-E-at-205-E-Street,42.3345,-71.0526,49763,0,
777543.075092718,2946835.72338389,21852,1606,The Residences at St. Augustine's,255,Dorchester,Street,2127,South Boston,Small Project,Construction Complete,2013/09/10 00:00:00+00,2013/11/14 00:00:00+00,2014/12/17 00:00:00+00,2016/02/17 00:00:00+00,2013/11/14 00:00:00+00,33000,"Proposal calls for the rehabilitation of the existing St, Augustine's Church Building into 29 residential condominium units and 27 surface and below grade parking spaces.",http://www.bostonplans.org/Projects/Development-Projects/The-Residences-at-St-Augustine,42.3334,-71.0511,33665,0,
778076.967397645,2953252.47137715,21853,1607,338 Congress Street,338,Congress,Street,2210,South Boston Waterfront,Large Project,Construction Complete,2013/11/04 00:00:00+00,2014/01/16 00:00:00+00,2016/06/06 00:00:00+00,2018/01/12 00:00:00+00,2016/04/20 00:00:00+00,26741,Proposal calls for the construction of 9 residential units.,http://www.bostonplans.org/projects/development-projects/338-congress-street,42.351,-71.049,26741,0,
761805.233208895,2947086.25044189,21854,1608,Mass Mental Health Center - Residential Building,75,Francis,Street,2115,Longwood Medical Area,Large Project,Construction Complete,2009/06/17 00:00:00+00,2010/02/16 00:00:00+00,2011/10/07 00:00:00+00,2016/09/26 00:00:00+00,2010/02/16 00:00:00+00,633960,"A residential building developed, operated, and controlled by RTH, and provides 60 affordable rental units and 85 condominiums, of which 43 are income restricted.",http://www.bostonplans.org/projects/development-projects/mass-mental-health-center-residential-building,42.3343,-71.1093,182500,0,
767305.886249557,2950246.17292781,21855,1609,50 Symphony Road,50,Symphony,Road,2115,Fenway,Small Project,Construction Complete,2013/09/20 00:00:00+00,2013/11/14 00:00:00+00,2016/03/22 00:00:00+00,2020/12/23 00:00:00+00,2021/01/27 00:00:00+00,28278,Proposal calls for the construction of 20 residential condominium units and 11 off-street parking spaces.,http://www.bostonplans.org/projects/development-projects/50-symphony-road,42.3429,-71.0889,28278,0,
763991.054624632,2948007.43199848,21856,161,MCPHS - White Building Addition,179,Longwood,Avenue,2115,Fenway,Large Project,Construction Complete,1999/05/04 00:00:00+00,2002/03/28 00:00:00+00,,,,93300,"Proposed addition to the White Building for the Massachusetts College of Pharmacy.   This will include study areas, rooms for 270 students and classrooms. Project review delayed until 2/01. Public review process reinitiated September 2001.",,42.3368,-71.1012,186600,,
773833.065124303,2937341.42281872,21857,1610,The Studios at St. Peters,307,Bowdoin,Street,2122,Dorchester,NPC,Construction Complete,2013/02/15 00:00:00+00,2013/03/14 00:00:00+00,2013/06/05 00:00:00+00,2014/07/11 00:00:00+00,,25000,Proposal calls for the provision of 31 rental units within the existing St. Peter's Convent.,,42.3074,-71.065,25000,0,
779509.466829225,2948230.98043589,21858,1611,11 Dorchester Street,11,Dorchester,Street,2127,South Boston,Small Project,Construction Complete,2013/09/20 00:00:00+00,2013/11/14 00:00:00+00,2015/05/05 00:00:00+00,2017/01/31 00:00:00+00,2017/09/08 00:00:00+00,29344,"Proposal calls for the construction of 30 residential units, 2,230 SF of ground floor restaurant space with 54 off-street parking spaces.",http://www.bostonplans.org/projects/development-projects/11-dorchester-street,42.3372,-71.0438,29344,0,
771412.080464974,2934632.46235739,21859,1612,The Four Corners-Upper Washington Project,324,Washington,Street,2121,Dorchester,Small Project,Construction Complete,2013/09/17 00:00:00+00,2013/10/17 00:00:00+00,2014/11/18 00:00:00+00,2017/04/13 00:00:00+00,2013/10/17 00:00:00+00,49758,"Proposal calls for the construction of two new buildings totaling 35 residential rental units in two buildings and 3,200 SF of ground floor commercial space with parking for 25 vehicles.",http://www.bostonplans.org/projects/development-projects/the-four-corners-upper-washington-project,42.3,-71.074,49758,0,
752198.691398382,2955462.49648464,21860,1613,Boston Landing New Balance Headquarters,100,Guest,Street,2135,Brighton,Large Project,Construction Complete,,2016/06/09 00:00:00+00,2016/10/06 00:00:00+00,2018/05/24 00:00:00+00,2020/10/15 00:00:00+00,466000,"Proposal calls for the construction of the new, 250,000 SF New Balance HQ building.",http://www.bostonplans.org/Projects/Development-Projects/Boston-Landing-New-Balance-Headquarters,42.3574,-71.1447,321000,0,
775046.475099057,2959067.51191239,21861,1614,Lovejoy Wharf,131,Beverly,Street,2114,North End,Large Project,Construction Complete,2013/09/24 00:00:00+00,2013/12/05 00:00:00+00,2015/07/10 00:00:00+00,2017/10/19 00:00:00+00,2017/10/26 00:00:00+00,430642,Project will result in 175 residential condominium units plus ground floor retail space.,https://www.bostonplans.org/projects/development-projects/lovejoy-wharf,42.367,-71.0601,430642,0,
775175.639866978,2954986.57059923,21862,1615,Millennium Tower,426,Washington,Street,2110,Downtown,NPC,Construction Complete,2012/07/02 00:00:00+00,,,,,815000,"Proposal calls for the construction of a 625' residential tower with 450 units and ground floor retail space, including a 30,000 SF grocery store operated by Roche Bros, and 550 parking spaces.",,42.3558,-71.0597,815000,0,
782708.834118143,2951528.16905148,21863,1616,Innovation Square at Northern Avenue Phase 1,6,Tide,Street,2210,South Boston Waterfront,Large Project,Construction Complete,2013/10/04 00:00:00+00,2013/12/19 00:00:00+00,2017/11/27 00:00:00+00,2019/04/23 00:00:00+00,2017/11/22 00:00:00+00,125000,"Proposal calls for the construction of approximately 360,000 SF multi-tenanted research and development/manufacturing facility and 60 parking spaces; Phase 1 consists of 125,000 SF.

Data is extracted from Permit COO943567. Initially in 2013, this was approved as 360,000 sf building. But later in 2016, it was decided that this would be split into two phases (two buildings). The first phase is reflected in this 2013 entry. The 2nd phase is reflected in a August 2016 entry.",,42.3462,-71.0319,125000,125000,
779069.531029299,2954679.01347156,21864,1618,Fan Pier Parcel C,22,Liberty,Street,2210,South Boston Waterfront,Large Project,Construction Complete,,2013/11/14 00:00:00+00,2013/11/19 00:00:00+00,2015/10/28 00:00:00+00,2013/11/14 00:00:00+00,250000,Project resulted in a 108 unit residential condominium building.,http://www.bostonplans.org/Projects/Development-Projects/Fan-Pier-Parcel-C,42.3549,-71.0453,250000,0,
773078.634546548,2936754.50798206,21865,1619,BIDMC - Bowdoin Street Health Center,230,Bowdoin,Street,,Dorchester,Small Project,Construction Complete,2013/10/09 00:00:00+00,2013/11/14 00:00:00+00,2014/05/13 00:00:00+00,2015/04/23 00:00:00+00,2013/11/14 00:00:00+00,4100,BIDMC 2013 IMPA/Small Project Review proposes the Bowdoin Street Health Center Addition Project - includes interior renovations of approx. 4100 SF addition for expanded outpatient clinical space including a Wellness Center.,http://www.bostonplans.org/projects/development-projects/bidmc-bowdoin-street-health-center,42.3058,-71.0678,4100,0,
778645.388832971,2953109.71247631,21866,162,Boston Wharf Garage - Stillings Street,23-Nov,Stillings,Street,2108,South Boston Waterfront,Large Project,Construction Complete,,2000/01/12 00:00:00+00,,,,251635,"Project includes a 28,092 square foot parking garage.",,42.3506,-71.0469,28092,,
783788.321460471,2946978.76509257,21867,1620,815 East Fifth Street,815,East Fifth,Street,2127,South Boston,Small Project,Construction Complete,2013/10/28 00:00:00+00,2016/05/12 00:00:00+00,2018/09/12 00:00:00+00,2021/09/17 00:00:00+00,2022/01/29 00:00:00+00,31673,The project consists of a 10-unit and a 9-unit new construction building above underground parking with 33 off-street parking spaces.,https://www.bostonplans.org/projects/development-projects/815-east-fifth-street,42.3337,-71.028,31673,0,
